NOMBRE,CANAL ,AÑO,EPISODIOS,AUDIENCIA,DIRECTORES,REPARTO PRINCIPAL ,
Gemelas,CHV, 2020,154,"11,2 pts de audiencia",Rodrigo Velásquez,Paloma Moreno y Cristián Arriagada ,
Amor a la Catalán,T13,2020,124,"7,2 pts de audiencia",Vicente Sabatini,Daniela Ramírez y Matías Assler,
100 días para enamorarse,MEGA,2021,152,Peor estreno después de la teleserie de TVN,Enrique Bravo,María Elena Swett y Diego Muñoz,
#Pobrenovio,MEGA,2021,172,Peak de 25 pts de audiencia.,Matías Stagnaro,Etienne Bobenrieth y Montserrat Ballarín,
Edificio corona,MEGA, 2021,120,16 puntos de audiencia,Nicolás Alemparte,María Gracia Omegna y Nicolás Oyarzún,
Demente,MEGA, 2021,140,"11,3 pts de audiencia al inicio.",Patricio González ,Paz Bascuñán y Benjamin Vicuña,
Amar profundo,MEGA, 2021,156,"13,7 pts de audiencia",Víctor Huerta,María Gracia Omegna y Nicolás Oyarzún,
Hijos del desierto,MEGA, 2022,163,"11,7 pts de audiencia",Patricio González ,Gastón Salgado y Jorge Arecheta,
La torre de Mabel,T13, 2022,143,"4,1 pts de audiencia",Cristián Mason,"Paloma Moreno, Álvaro Gómez, Blanca Lewin y Elisa Zulueta",
La ley de Baltazar,MEGA, 2023,221,"17,4 pts de audiencia.",Nicolás Alemparte,Francisco Reyes y Amparo Noguera,
Verdades ocultas,MEGA,2022,1128,"17,4 pts de audiencia.",Felipe Arratia,Camila Hirane y Matías Oviedo,
Hasta encontrarte,MEGA,2022,98,"12,1 de audiencia. ",Víctor Huerta,Luz Valdivieso y Daniel Alcaíno,
Generación 98,MEGA,2023,179,"14,6 pts de audiencia. ",Nicolás Alemparte,Gabriel Cañas y Daniela Ramírez,
El señor de la querencia,MEGA,2024,78,12 pts de audiencia,Nicolás Alemparte,Gabriel Cañas y María Gracia Omegna,
Dime con quién andas,CHV,2024,120,"3,5 pts de audiencia",Mauro Scandolari ,María Sweet y Cristián Riquelme,
Secretos de familia,T13,2024,142,"5,5 pts de audiencia",Roberto Rebolledo,Álvaro Rudolphy y Daniela  Ramírez ,
Como la vida misma,MEGA,2024,286,"14,3 pts de audiencia.",Felipe Arratia,Sigrid Alegría y Diego Muñoz,
Al sur del corazón,MEGA, 2024,154,13 pts de audiencia,Patricio González ,Paola Volpato y Francisco Melo,
Mi boda es una trampa,T13,2025,25,EN GRABACIONES,César Opazo,Matías Assler y Catalina Silva,
Juego de ilusiones,MEGA,2025,550,11 pts de audiencia. ,Matías Stagnaro,Carolina Arregui y Julio Milostich,
Los casablanca,MEGA,2025,156,Más de 900.000 auditores vieron el final,Felipe Arratia,"Francisco Reyes, Sigrid Alegría y Francisco Melo",
El jardín de Olivia,MEGA,2025,EN EMISIÓN,"13,3 pts de audiencia",Víctor Huerta,Nicole Espinoza y Francisco Gormaz,
Aguas de oro,MEGA,2025,EN EMISIÓN,Estreno con más de 1 millón en audiencia,Patricio González ,Álvaro Rudolphy y Carolina Arregui,
Reunión de superados,MEGA,2025,EN EMISIÓN,Se estrena el 23 de septiembre,Felipe Arratia,Daniela Ramírez y Mario Horton,
